annee;categorie_principale;sous_categorie;nb_commandes_total;nb_clients_total;ca_total_ht;quantite_totale;panier_moyen_ht;age_moyen;anciennete_moyenne_jours;nb_nouveaux_clients;nb_anciens_clients;pourcentage_nouveaux_clients;ca_nouveaux_clients;ca_anciens_clients;panier_moyen_nouveaux;panier_moyen_anciens;taux_reachat_pourcent
2026;"MATERIEL PHOTO";TREPIED/ROTULE;143;136;17411.48;174;121.76;43.3;340;53;84;39.0;6605.40;10806.08;124.63;120.07;64.0
2026;"MATERIEL VIDEO";STABILISATEUR;44;41;16519.31;46;375.44;32.1;410;23;19;56.1;8162.28;8357.03;354.88;397.95;53.7
2026;"MATERIEL D'ECLAIRAGE";FLASH;106;105;15949.48;109;150.47;37.3;342;45;61;42.9;5924.93;10024.55;131.67;164.34;60.0
2026;"MATERIEL D'ECLAIRAGE";"LUMIERE CONTINUE";62;60;15544.28;84;250.71;30.9;376;31;31;51.7;9236.96;6307.32;297.97;203.46;58.3
2026;FLASH;"FLASH COBRA";96;95;15367.95;96;160.08;35.9;322;45;51;47.4;5924.93;9443.02;131.67;185.16;55.8
2026;"MATERIEL PHOTO";BATTERIE/ALIMENTATION;182;178;15130.35;267;83.13;43.2;376;85;93;47.8;6581.24;8549.11;77.43;88.14;56.2
2026;"MATERIEL VIDEO";"AUDIO PRO";86;85;14649.04;107;170.34;31.5;476;40;46;47.1;7982.14;6666.90;199.55;144.93;55.3
2026;"MATERIEL PHOTO";"ACCESSOIRE PHOTO";294;289;13771.01;398;46.84;42.3;322;138;154;47.8;7808.76;5962.25;56.59;38.22;56.4
2026;"APPAREIL PHOTO/VIDEO OCCASION";"COMPACT OCCASION";10;10;13449.64;10;1344.96;46.8;366;5;5;50.0;5465.67;7983.97;1093.13;1596.79;50.0
2026;"APPAREIL PHOTO/VIDEO OCCASION";"REFLEX OCCASION";17;17;13043.25;17;767.25;44.4;213;12;5;70.6;9011.21;4032.04;750.93;806.41;35.3
2026;"NATURE ET OUTDOOR";"ACCESSOIRE DE TERRAIN";144;134;12873.00;203;89.40;44.8;269;65;73;48.5;5816.42;7056.58;89.48;89.32;57.5
2026;Accueil;"MATERIEL INFORMATIQUE";65;61;12374.46;75;190.38;35.3;558;27;34;44.3;5289.42;7085.04;195.90;186.45;57.4
2026;STABILISATEUR;"STABILISATEUR PRO";20;20;12175.03;20;608.75;36.9;563;10;10;50.0;5300.01;6875.02;530.00;687.50;60.0
2026;SAC/VALISE;"SAC A DOS";65;65;12032.46;66;185.11;43.2;317;36;29;55.4;6768.96;5263.50;188.03;181.50;50.8
