ean13;id_product;id_product_attribute;categorie;marque;nom;stock;prix_achat_ht;prix_vente_ht;qte_30j;rotation_30j;rotation_60j;rotation_90j
;7871;3543;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 80 Couleur Lenscoat: Realtree Max 5";0;101.000000;173.25;0;;;
;7871;3544;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 80 Couleur Lenscoat: Noir";0;93.000000;162.42;0;;;
;7871;3545;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 80 Couleur Lenscoat: Digital Camo";0;96.000000;165.75;0;;;
;7871;3546;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 80 Couleur Lenscoat: Forest Green";0;93.000000;162.42;0;;;
;7871;3547;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 80 Couleur Lenscoat: Snow";0;96.000000;165.75;0;;;
;7871;8177;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 80 Couleur Lenscoat: Realtree Edge";0;109.000000;174.92;0;;;
8561715235986;7877;3554;SAC/VALISE;LensCoat;"LENSCOAT SAC 3XPANDABLE Couleur Lenscoat: Realtree Max 4";0;223.000000;380.75;0;;;
3030349264910;7877;3555;SAC/VALISE;LensCoat;"LENSCOAT SAC 3XPANDABLE Couleur Lenscoat: Realtree Max 5";0;231.000000;385.75;0;;;
1786474896445;7877;3556;SAC/VALISE;LensCoat;"LENSCOAT SAC 3XPANDABLE Couleur Lenscoat: Noir";1;223.000000;380.75;0;0.00;0.00;0.00
6524041979252;7877;3557;SAC/VALISE;LensCoat;"LENSCOAT SAC 3XPANDABLE Couleur Lenscoat: Digital Camo";0;223.000000;380.75;0;;;
1227847819103;7877;3558;SAC/VALISE;LensCoat;"LENSCOAT SAC 3XPANDABLE Couleur Lenscoat: Forest Green";0;223.000000;380.75;0;;;
8367980207111;7877;3559;SAC/VALISE;LensCoat;"LENSCOAT SAC 3XPANDABLE Couleur Lenscoat: Snow";0;223.000000;380.75;0;;;
1873921571564;7878;3560;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE CANON RF 15-35MM F/2.8 Couleur Lenscoat: Realtree Max 4";0;60.000000;102.42;0;;;
7190276723497;7878;3561;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE CANON RF 15-35MM F/2.8 Couleur Lenscoat: Realtree Max 5";0;63.000000;107.42;0;;;
4684660037551;7878;3562;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE CANON RF 15-35MM F/2.8 Couleur Lenscoat: Noir";0;53.000000;94.09;0;;;
2457397264083;7878;3563;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE CANON RF 15-35MM F/2.8 Couleur Lenscoat: Digital Camo";0;60.000000;102.42;0;;;
2546525302620;7878;3564;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE CANON RF 15-35MM F/2.8 Couleur Lenscoat: Forest Green";0;53.000000;94.09;0;;;
